A,N,x,y,x1,y1,x2,y2,x3,y3,x4,y4
10,3,12.3062029,16.9213066,12.7419996,17.0020008,13.3946438,17.1198883,0.0000000,0.0000000,0.0000000,0.0000000
10,2,12.2447538,16.9099293,12.3062029,16.9213066,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
46,3,14.1594124,17.2620544,14.3319998,16.4899998,14.3889999,16.4990005,0.0000000,0.0000000,0.0000000,0.0000000
45,2,15.3170004,16.4099998,14.9702625,17.4152355,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
48,2,15.3889999,16.1200008,16.0689697,16.4080257,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
47,2,15.3170004,16.4099998,15.3889999,16.1200008,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
44,3,14.0244579,15.8272190,15.1340361,16.3555603,15.3170004,16.4099998,0.0000000,0.0000000,0.0000000,0.0000000
43,2,14.0244579,15.8272190,13.3946438,17.1198883,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
47,3,15.3889999,16.1200008,15.5100002,15.7519999,15.6070004,15.6219997,0.0000000,0.0000000,0.0000000,0.0000000
43,2,13.5803728,15.6042328,14.0244579,15.8272190,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
61,2,14.4429998,15.0100002,14.0244579,15.8272190,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
20,2,12.2447538,16.9099293,11.5998764,18.5883083,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,19.5272503,17.2641487,19.5413170,16.7682648,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
29,2,19.3530006,17.1840000,19.5413170,16.7682648,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
10,2,11.1650000,16.7099991,12.2447538,16.9099293,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
3,2,3.7330000,17.6210003,4.2443171,16.7018509,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
12,2,8.1459999,16.9909992,7.1856389,16.6844387,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
9,2,7.1856389,16.6844387,6.9940100,17.3993397,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
10,2,10.8289194,16.6464252,11.1650000,16.7099991,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
7,2,4.2927132,16.6148548,5.4027152,16.9372101,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
3,2,4.2443171,16.7018509,4.2927132,16.6148548,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
27,2,17.1739998,17.8659992,17.7430000,16.5869999,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
10,2,10.3191881,16.5500050,10.8289194,16.6464252,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
18,2,9.6827154,18.2092381,10.3191881,16.5500050,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
1,2,19.5413170,16.7682648,19.5478706,16.5372238,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
10,2,15.6000004,17.5249996,16.0689697,16.4080257,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000
