M,16.7380009,18.6959991,L
L,17.6599998,18.7119999,L
M,14.4619999,18.6550007,L
L,16.7380009,18.6959991,L
M,12.7938805,18.6161308,L
L,14.4619999,18.6550007,L
M,11.5998764,18.5883083,L
L,12.7938805,18.6161308,L
M,10.971961,18.5736771,L
L,11.5998764,18.5883083,L
M,10.7959166,18.5695744,L
L,10.971961,18.5736771,L
M,8.533,18.5240002,L
L,10.7959166,18.5695744,L
M,7.3639998,18.4990005,L
L,8.533,18.5240002,L
M,6.7030001,18.4850006,L
L,7.3639998,18.4990005,L
M,6.4789462,18.4790497,L
L,6.7030001,18.4850006,L
M,4.9920001,18.441,L
L,6.4789462,18.4790497,L
M,3.3900001,18.3969994,L
L,4.9920001,18.441,L
M,9.6827154,18.2092381,L
L,10.7959166,18.5695744,L
M,17.6599998,18.7119999,L
L,19.4839993,18.7250004,L
L,19.5030003,18.1189995,L
M,8.6569996,18.0890007,L
L,8.533,18.5240002,L
M,5.0978222,18.0533352,L
L,6.4789462,18.4790497,L
M,4.9920001,18.441,L
L,5.0978222,18.0533352,L
M,8.7724485,17.9145889,L
L,9.6827154,18.2092381,L
M,8.7724485,17.9145889,L
L,8.6569996,18.0890007,L
M,17.4473476,17.9006481,L
L,18.7360001,18.0639992,L
L,19.5030003,18.1189995,L
M,17.4473476,17.9006481,L
L,17.5179996,18.4389992,L
L,17.6599998,18.7119999,L
M,17.1739998,17.8659992,L
L,17.4473476,17.9006481,L
M,17.1739998,17.8659992,L
L,16.7380009,18.6959991,L
M,7.9260001,17.6700001,L
L,7.882,17.8500004,L
L,8.6569996,18.0890007,L
M,16.1129227,17.645401,L
L,17.1739998,17.8659992,L
M,16.1129227,17.645401,L
L,15.8950005,18.3330002,L
L,15.507,18.2420006,L
L,15.3870001,18.3390007,L
L,15.3170004,18.5170002,L
M,3.733,17.6210003,L
L,5.0978222,18.0533352,L
M,7.6246362,17.5824795,L
L,7.9260001,17.6700001,L
M,7.3639998,18.4990005,L
L,7.6246362,17.5824795,L
M,3.405966,17.5355129,L
L,3.733,17.6210003,L
M,3.405966,17.5355129,L
L,3.3900001,18.3969994,L
M,15.6000004,17.5249996,L
L,16.1129227,17.645401,L
M,14.9702625,17.4152355,L
L,15.6000004,17.5249996,L
M,14.9702625,17.4152355,L
L,14.4619999,18.6550007,L
M,6.99401,17.3993397,L
L,7.6246362,17.5824795,L
M,6.99401,17.3993397,L
L,6.7030001,18.4850006,L
M,19.5030003,18.1189995,L
L,19.5272503,17.2641487,L
M,14.1594124,17.2620544,L
L,14.783,17.382,L
L,14.9702625,17.4152355,L
M,8.8240004,17.1959991,L
L,8.8760004,17.3260002,L
L,8.7724485,17.9145889,L
M,19.3530006,17.184,L
L,19.5272503,17.2641487,L
M,18.5079994,17.3279991,L
L,19.184,17.5620003,L
L,19.3530006,17.184,L
M,13.3946438,17.1198883,L
L,13.816,17.1959991,L
L,14.1594124,17.2620544,L
M,13.3946438,17.1198883,L
L,12.7938805,18.6161308,L
M,11.5249996,17.0750008,L
L,10.971961,18.5736771,L
M,8.1929998,17.0149994,L
L,8.8240004,17.1959991,L
M,8.1459999,16.9909992,L
L,8.1929998,17.0149994,L
M,7.9260001,17.6700001,L
L,8.1459999,16.9909992,L
M,5.4027152,16.9372101,L
L,6.99401,17.3993397,L
M,5.0978222,18.0533352,L
L,5.4027152,16.9372101,L
M,12.3062029,16.9213066,L
L,12.7419996,17.0020008,L
L,13.3946438,17.1198883,L
M,12.2447538,16.9099293,L
L,12.3062029,16.9213066,L
M,14.1594124,17.2620544,L
L,14.3319998,16.4899998,L
